coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
d59c52fa-a000-4d50-9434-21c6df974e87,story_image,cloud_upload,image,assets/story_image/4029417d-ace6-4ea0-9ae2-264ef127e373.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/4029417d-ace6-4ea0-9ae2-264ef127e373.jpg,"ChatGPT Image May 2, 2026, 12_11_22 AM.jpg",image/jpeg,168231,800,1600,"",b012371b4e62073c8a281dfacff6ffa8ac08d97c3df830fe697c14c99a5b8a8e,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:12:00.332000,2026-05-01 21:12:00.332000
0ea3ec99-eab3-49ba-8ffa-a6fde020fb01,story_image,cloud_upload,image,assets/story_image/13a638e4-4aa7-4aa6-af0a-35fe253372c6.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/13a638e4-4aa7-4aa6-af0a-35fe253372c6.jpg,"ChatGPT Image May 2, 2026, 12_12_16 AM.jpg",image/jpeg,88965,800,1600,"",64b2a52a2771e3a8e7fa11248b5756e5ce8d58bbc3cec1bbd4f15583fbf87b29,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:12:58.450000,2026-05-01 21:12:58.450000
ad3e8064-2030-4ecb-a74a-ad0f470ed547,story_image,cloud_upload,image,assets/story_image/8a806e7f-2112-494f-bea0-df6879e5a0d8.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/8a806e7f-2112-494f-bea0-df6879e5a0d8.jpg,"ChatGPT Image May 2, 2026, 12_13_23 AM.jpg",image/jpeg,101169,800,1600,"",2e5aa5b7fa6c4d811f285234a09d199c06fd9186bb4f91370e4524ac86d95f32,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:14:03.424000,2026-05-01 21:14:03.424000
7e6c1110-c963-4936-b2fc-4e65b2c5b980,story_image,cloud_upload,image,assets/story_image/055dd21c-da7f-4118-9285-70a2074a23bb.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/055dd21c-da7f-4118-9285-70a2074a23bb.jpg,"ChatGPT Image May 2, 2026, 12_14_27 AM.jpg",image/jpeg,112604,800,1600,"",3e69136438b0e0395a4779778fb95c5055518f461712928179bde0ae89e50ee5,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:14:56.473000,2026-05-01 21:14:56.473000
fe52d3bc-ffe8-4521-a1b7-c91de29868ab,story_image,cloud_upload,image,assets/story_image/9ba28dd0-72a7-4e2b-8c9c-bef19bcc3ccd.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/9ba28dd0-72a7-4e2b-8c9c-bef19bcc3ccd.jpg,"ChatGPT Image May 2, 2026, 12_15_46 AM.jpg",image/jpeg,123401,759,1600,"",80d58ba3e69403aca630551a6381973b0218127a05d5382f32d2c1dad1fe5170,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:16:02.392000,2026-05-01 21:16:02.392000
b2699590-2d14-4ecd-8774-db63f29671c1,story_image,cloud_upload,image,assets/story_image/3cdc8076-309a-4e03-be5d-d993f323ae40.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/3cdc8076-309a-4e03-be5d-d993f323ae40.jpg,"ChatGPT Image May 2, 2026, 12_20_15 AM.jpg",image/jpeg,170303,900,1600,"",8dcbd300705733016d1d31597ea6638b3ebfe8da4bc9763b205ea74ef53369fa,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:20:31.509000,2026-05-01 21:20:31.509000
08a28948-b137-465d-8bb6-919cd17c4086,story_image,cloud_upload,image,assets/story_image/68313c05-0ac1-4bf5-bf20-4c6c2a9995f4.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/68313c05-0ac1-4bf5-bf20-4c6c2a9995f4.jpg,"ChatGPT Image May 2, 2026, 11_56_37 AM.jpg",image/jpeg,172998,900,1600,"",1867f559c41a5a1b19bdda86175b3605926f686af121c63594693b2fd630dcc7,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:57:04.778000,2026-05-02 08:57:04.778000
351ac73b-b4ba-4e61-9254-460291ba41df,story_image,cloud_upload,image,assets/story_image/96efa8fb-38bc-4d52-8261-f31d6289495d.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/96efa8fb-38bc-4d52-8261-f31d6289495d.jpg,"ChatGPT Image May 2, 2026, 11_58_15 AM.jpg",image/jpeg,131524,900,1600,"",2bb44ea6617df8e8b3d2c544eeda7b101a16135a660e1f79431771e21b538389,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:58:47.871000,2026-05-02 08:58:47.871000
bcfb341f-5e1a-4354-8550-73b26a09da59,story_image,cloud_upload,image,assets/story_image/9851be80-b225-4657-9bc1-697f27fcafab.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/9851be80-b225-4657-9bc1-697f27fcafab.jpg,"ChatGPT Image May 2, 2026, 11_59_40 AM.jpg",image/jpeg,120992,900,1600,"",5b4c9347c054f51656c8da5b198834b2566db5340f1790b8c74b50961ef72279,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 09:00:00.883000,2026-05-02 09:00:00.883000
7470c9f7-6105-4dda-ac8e-b5407ba28672,group_logo,cloud_upload,image,assets/group_logo/b2a3c55d-0893-43bd-b5d8-2840d4a8a440.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/b2a3c55d-0893-43bd-b5d8-2840d4a8a440.jpg,"ChatGPT Image May 2, 2026, 06_37_58 PM.jpg",image/jpeg,28034,500,500,"",1dc10a8bf78659d90418e56cc4f82b5bbe0534cc2f95ec96fdc18a2a534c15f5,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 15:38:10.521000,2026-05-02 15:38:10.521000
