coalesce,coalesce,case,coalesce,coalesce,coalesce,coalesce
ecec1823-5875-40bb-8392-dbad276e6ce5,Always-ON Azərbaycan Mövsüm 2 Həftə 3 Story,0,fbb549e7-ae97-452b-960a-49db06e2e67c,fbb549e7-ae97-452b-960a-49db06e2e67c,2026-05-12 15:31:23.419000,2026-05-12 15:31:39.950000
fc847328-45d5-4042-953d-e3f6c7cd5505,Wild Rift Road to LEGENDS Hafta 4 Story,0,46ccba29-d6e6-4bbe-9099-370d622f9e9f,46ccba29-d6e6-4bbe-9099-370d622f9e9f,2026-05-12 15:33:49.006000,2026-05-12 15:34:29.686000
84203cf7-9f32-4dd1-b818-8f7835a52eda,Always-ON Azərbaycan Mövsüm 2 Aylıq Story,0,85ab7394-ac36-4b1f-b503-5d0a6f796de5,85ab7394-ac36-4b1f-b503-5d0a6f796de5,2026-05-28 21:15:19.688000,2026-05-28 21:15:41.593000
3df9c114-fea6-40bf-baed-418cffe3a501,Always-ON România Sezonul 2 Lunar Story,0,65e7ff71-0b15-46ef-a4be-477df8b0c100,65e7ff71-0b15-46ef-a4be-477df8b0c100,2026-05-12 17:00:18.323000,2026-05-12 17:00:35.372000
b5a9ffec-d391-4f7d-8e37-b69a9d1bf80c,Always-ON Polska Sezon 2 Tydzień 4 Story,1,72af20eb-66f3-4295-bb49-265bab068aca,"",2026-05-07 21:41:48.845000,2026-05-12 18:50:02.062000
9b8b1722-edac-4057-91d1-1a675666cb8e,Always-ON Polska Sezon 2 Miesięcznik Story,0,84fca6cc-f58a-4be9-81c6-f301e3eb4250,84fca6cc-f58a-4be9-81c6-f301e3eb4250,2026-05-14 19:57:06.512000,2026-05-14 19:57:24.143000
435608bc-6840-42d2-ae46-210a9301ecc4,Always-ON Azərbaycan Mövsüm 2 Həftə 3 Story,1,5b9c0204-100e-401b-8b1e-966d5a003b39,"",2026-05-12 15:30:53.112000,2026-05-16 15:50:03.231000
f9262700-8cac-403b-bfd4-c832b3dc80b0,Wild Rift Road to LEGENDS Hafta 4 Story,1,3057461c-57b5-4d7e-b5c4-522bbc654b67,"",2026-05-12 15:33:07.346000,2026-05-16 16:50:02.607000
24eabb4e-9972-4498-af76-560c9a451664,Always-ON Azərbaycan Mövsüm 2 Həftə 4 Story,0,4f22193f-70be-478a-807c-74aa9ffaa896,4f22193f-70be-478a-807c-74aa9ffaa896,2026-05-19 05:04:46.229000,2026-05-19 05:05:03.588000
17435c4b-8bcb-42b9-9d60-eda08cb09a7c,Wild Rift Road to LEGENDS Last Chance Story,1,ec97cdcc-ff37-4806-a063-79c0df854e8b,"",2026-05-21 10:06:21.139000,2026-05-21 16:50:05.276000
6db60d85-248b-4143-ac90-33e27f711765,Wild Rift Road to LEGENDS Promotion Stage Story,0,998753b4-8b3f-4006-b844-39b268b4b9a7,998753b4-8b3f-4006-b844-39b268b4b9a7,2026-05-19 05:14:50.606000,2026-05-19 05:15:13.725000
1e4576e3-e074-4c6e-a150-2185272e8ea3,Wild Rift Road to LEGENDS Promotion Stage Story,1,6bca69da-5a16-494b-826a-a53b84a35798,"",2026-05-19 05:14:13.258000,2026-05-19 16:50:03.254000
b85b6dde-0c79-43bd-b11f-2434a63fcf76,Live Stream,0,d82704c8-365c-4352-9859-86b0b0cecbfb,d82704c8-365c-4352-9859-86b0b0cecbfb,2026-05-30 17:00:35.848000,2026-05-30 17:11:17.016000
f568ecaf-3a43-4329-9767-c0b61dd55e08,Wild Rift Road to LEGENDS Last Chance Story,0,c8737e65-88f5-4174-a2d5-454b028432dd,c8737e65-88f5-4174-a2d5-454b028432dd,2026-05-21 10:06:59.963000,2026-05-21 10:07:24.363000
36f08cba-6f7d-4c2d-9d9d-d06c42171dbf,19 Mayıs,1,4cff04ac-227c-40b4-b95e-d27fe5ce5949,"",2026-05-18 22:02:35.625000,2026-05-23 05:35:39.356000
27d772e5-0a8b-401d-be0b-4829926dcbed,Polonya Şampiyon Hafta 2,1,ebec2f60-5fe2-4b73-906c-399d8e167684,"",2026-05-08 14:10:36.615000,2026-05-23 05:36:07.964000
94b28c87-4eb6-46da-aaf0-e3c7dbe0a2a6,Always-ON Azərbaycan Mövsüm 2 Həftə 4 Story,1,0395f87a-b097-4617-80d2-868c32b67ad4,"",2026-05-19 05:04:11.723000,2026-05-23 15:50:02.444000
f9852b75-7e84-4f98-aba4-a48e78526289,Wild Rift Road to LEGENDS Büyük Final Story,1,51a014f0-d034-4b75-bd4f-658463e67693,"",2026-05-21 10:10:31.259000,2026-05-23 16:50:02.167000
09357d4a-0727-48e3-83f5-cb3e7c0f4011,Romania Champion Sezon 2,0,6b2cdc96-845e-4647-98f7-fec6a0a4ee25,6b2cdc96-845e-4647-98f7-fec6a0a4ee25,2026-05-24 23:01:42.544000,2026-05-24 23:01:52.977000
b3b59b44-3e67-4ec4-927f-b8b84fb02136,Romania Sezon 2 Aylık,1,6651932d-1d30-4df8-ad4a-2a65ef23c65c,"",2026-05-23 15:51:51.040000,2026-05-24 23:03:21.691000
ef6db151-71b9-40f6-8b1d-d46d153de3fa,Always-ON România Sezonul 2 Lunar Story,1,3ef4a816-b546-473f-baa1-65fcd1dc6b74,"",2026-05-12 15:34:59.106000,2026-05-27 01:25:41.152000
6e5406ce-6dfa-4d04-96e7-75726a52c37f,Always-ON Polska Sezon 2 Miesięcznik Story,1,36c8e9c3-2fae-4426-9625-69c1d4018855,"",2026-05-14 19:56:30.591000,2026-05-28 17:50:01.628000
9c105ddc-f8f1-4326-9e14-5e1d46152260,Super Scrim,0,9b42d0ca-e0da-413e-a963-ff3f005383dc,9b42d0ca-e0da-413e-a963-ff3f005383dc,2026-05-30 22:08:32.162000,2026-05-30 22:14:46.191000
75400c62-8d55-4517-9199-0e4d6ba590c6,Kurban Bayramı,1,64a40b9a-beb1-4dc8-b987-78c46e0c03e0,"",2026-05-26 20:42:59.204000,2026-05-30 22:16:15.175000
