coalesce,coalesce,coalesce,coalesce,coalesce
86cd2e88-0f56-4949-855f-df3081c0b23b,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 05:59:30.221000,2026-05-12 17:59:30.221000,""
83bd6fa9-3cec-4b19-8101-cf685c8ce835,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 15:10:57.119000,2026-05-13 03:10:57.119000,""
48961487-b750-4cc2-866f-74604deb4038,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 07:08:18.370000,2026-05-12 19:08:18.370000,2026-05-12 17:12:45.384000
5261dccc-71dc-4b0f-900e-5bdd5c20a88c,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 20:57:40.819000,2026-05-13 08:57:40.819000,""
76bbe359-9c77-4a64-9457-f82ce70a70d8,10e6e499-62df-4c07-8c17-7c7f7a7a1eb6,2026-05-13 15:35:35.086000,2026-05-14 03:35:35.086000,""
dc8c4756-8162-4ed9-b85f-b8ad4e35e088,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-14 19:52:36.461000,2026-05-15 07:52:36.461000,""
0259fca4-be16-42c1-a4db-e058a32c4ca2,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-18 22:01:33.557000,2026-05-19 10:01:33.557000,""
644edf55-55fc-4dce-b5cc-e386f866c6f0,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-21 10:09:11.370000,2026-05-21 22:09:11.370000,""
d7d9b75e-87cd-4d10-bf95-5374e5b0df85,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-23 05:35:12.523000,2026-05-23 17:35:12.523000,""
5503a5af-52dd-437f-b49e-b8a66738f1d5,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-24 22:47:48.698000,2026-05-25 10:47:48.698000,""
b2f884cd-ebaa-4e1f-9274-2761294c16c3,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-26 20:41:51.483000,2026-05-27 08:41:51.483000,""
325c80fd-2589-424c-a9fd-e00bef451d14,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-28 21:13:23.999000,2026-05-29 09:13:23.999000,""
aa871db8-9105-44b6-9d2e-79722f612ba0,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 16:57:18.557000,2026-05-31 04:57:18.557000,""
9fd257c9-90f4-4d1a-a6c5-e01c79147d15,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 22:05:20.939000,2026-05-31 10:05:20.939000,""
8577f06f-0fe3-4a2f-895d-33784ad6a7ca,9e2848e0-25eb-4d97-9dd7-525826848150,2026-06-01 14:14:28.808000,2026-06-02 02:14:28.808000,""
603562e1-0379-4ec9-b613-90b225e24974,9e2848e0-25eb-4d97-9dd7-525826848150,2026-06-02 06:38:55.260000,2026-06-02 18:38:55.260000,""
8ac6c61c-144c-4581-a8e4-3dedaf93632f,9e2848e0-25eb-4d97-9dd7-525826848150,2026-06-02 07:03:56.317000,2026-06-02 19:03:56.317000,""
3dd4d84b-c49c-4dc9-8236-d2b9e3ba958b,9e2848e0-25eb-4d97-9dd7-525826848150,2026-06-02 07:05:08.163000,2026-06-02 19:05:08.163000,""
1a36ab7f-270a-4de4-82cd-86e6c8664065,9e2848e0-25eb-4d97-9dd7-525826848150,2026-06-02 10:44:16.436000,2026-06-02 22:44:16.436000,""
